f1,precision,recall
0.8765880217785844,0.8994413407821229,0.8548672566371681
0.8082191780821918,0.7857142857142857,0.8320512820512821
0.8574423480083857,0.8381147540983607,0.8776824034334764
0.8725212464589235,0.8733459357277883,0.8716981132075472
0.9200968523002422,0.9026128266033254,0.9382716049382716
0.8988235294117647,0.9483614697120158,0.8542039355992844
0.7663817663817664,0.7556179775280899,0.7774566473988439
0.757527733755943,0.7308868501529052,0.7861842105263158
0.9096340552651232,0.9144144144144144,0.9049034175334324
0.9574611748818366,0.964625850340136,0.9504021447721179
0.774468085106383,0.7777777777777778,0.7711864406779662
0.8121693121693122,0.8230563002680965,0.8015665796344648
0.9029754204398448,0.9232804232804233,0.8835443037974684
0.9269311064718163,0.9466950959488273,0.9079754601226994
0.8656488549618321,0.8696319018404908,0.8617021276595744
0.7233661593554163,0.7163120567375887,0.7305605786618445
0.8678051865907653,0.88745148771022,0.849009900990099
0.9089900110987791,0.9130434782608695,0.9049723756906077
0.8907014681892332,0.875,0.9069767441860465
0.8951890034364262,0.8998272884283247,0.8905982905982905
0.8725274725274725,0.8593073593073594,0.8861607142857143
0.8612975391498882,0.8671171171171171,0.8555555555555555
0.8326530612244898,0.8547486033519553,0.8116710875331565
0.8850267379679144,0.893387314439946,0.8768211920529801
0.8626560726447219,0.8388520971302428,0.8878504672897196
0.8620689655172413,0.8597883597883598,0.8643617021276596
0.8220720720720721,0.8004385964912281,0.8449074074074074
0.9094972067039107,0.8828633405639913,0.9377880184331797
0.8510131108462455,0.854066985645933,0.8479809976247031
0.8821081830790569,0.8932584269662921,0.8712328767123287
0.8363095238095238,0.8240469208211144,0.8489425981873112
0.8886010362694301,0.9098143236074271,0.8683544303797468
0.7665706051873199,0.7571157495256167,0.7762645914396887
0.8634361233480177,0.8448275862068966,0.8828828828828829
0.8326947637292464,0.7780429594272077,0.8956043956043956
0.8547717842323651,0.8565488565488566,0.8530020703933747
0.6276346604215457,0.6784810126582278,0.5838779956427015
0.9214574898785425,0.9297385620915033,0.913322632423756
0.8333333333333334,0.8404558404558404,0.8263305322128851
0.8891537544696066,0.927860696517413,0.8535469107551488
0.849539406345957,0.8504098360655737,0.8486707566462167
0.8136200716845878,0.8438661710037175,0.7854671280276817
0.7231404958677686,0.7383966244725738,0.708502024291498
0.8923884514435696,0.8994708994708994,0.8854166666666666
0.8575712143928036,0.8627450980392157,0.8524590163934426
0.8158730158730159,0.8158730158730159,0.8158730158730159
0.8015170670037927,0.763855421686747,0.8430851063829787
0.8893617021276595,0.8708333333333333,0.908695652173913
0.8666666666666667,0.8406015037593985,0.8944
0.8324873096446701,0.845360824742268,0.82
0.8150572831423896,0.8137254901960784,0.8163934426229508
0.7598475222363406,0.7382716049382716,0.7827225130890052
0.8735244519392917,0.8900343642611683,0.8576158940397351
0.8925619834710744,0.9375,0.8517350157728707
0.8953771289537713,0.9223057644110275,0.8699763593380615
0.8786737000753579,0.9166666666666666,0.8437047756874095
0.9065550906555091,0.9312320916905444,0.8831521739130435
0.9357142857142857,0.9379474940334129,0.9334916864608076
0.8754578754578755,0.9122137404580153,0.8415492957746479
0.8033898305084746,0.8713235294117647,0.7452830188679245
0.8432432432432433,0.8904109589041096,0.8008213552361396
0.8604444444444445,0.8536155202821869,0.8673835125448028
0.8556149732620321,0.8556149732620321,0.8556149732620321
0.9123222748815166,0.9367396593673966,0.8891454965357968
0.8854003139717426,0.8730650154798761,0.8980891719745223
0.8841870824053452,0.8802660753880266,0.8881431767337807
0.8716904276985743,0.9029535864978903,0.84251968503937
0.9284253578732107,0.9380165289256198,0.9190283400809717
0.8682634730538922,0.8656716417910447,0.8708708708708709
0.869172932330827,0.8652694610778443,0.8731117824773413
0.9178294573643411,0.9024390243902439,0.9337539432176656
0.9014084507042254,0.9113924050632911,0.891640866873065
0.8781925343811395,0.883399209486166,0.873046875
0.9167717528373266,0.9719251336898396,0.8675417661097852
0.946236559139785,0.967032967032967,0.9263157894736842
0.9187986651835373,0.9157427937915743,0.921875
0.909433962264151,0.9432485322896281,0.8779599271402551
0.8951048951048951,0.89198606271777,0.8982456140350877
0.8467432950191571,0.8735177865612648,0.8215613382899628
0.9230769230769231,0.9264705882352942,0.9197080291970803
0.7736757624398074,0.7280966767371602,0.8253424657534246
0.9352331606217616,0.9575596816976127,0.9139240506329114
0.8057851239669421,0.8369098712446352,0.7768924302788844
0.8590785907859079,0.8498659517426274,0.8684931506849315
0.9177057356608479,0.9484536082474226,0.8888888888888888
0.919205298013245,0.9429347826086957,0.896640826873385
0.9093851132686084,0.9461279461279462,0.8753894080996885
0.8873239436619719,0.8945233265720081,0.8802395209580839
0.8683206106870229,0.875,0.8617424242424242
0.9325997248968363,0.9603399433427762,0.9064171122994652
0.8699080157687253,0.8897849462365591,0.8508997429305912
0.9347593582887701,0.9278131634819533,0.9418103448275862
0.922077922077922,0.9289719626168225,0.9152854511970534
0.887991927346115,0.9282700421940928,0.851063829787234
0.8493449781659389,0.8530701754385965,0.8456521739130435
0.9166666666666666,0.9341421143847487,0.8998330550918197
0.9047619047619048,0.9069212410501193,0.9026128266033254
0.8802083333333334,0.8771626297577855,0.8832752613240418
0.9288702928870293,0.9487179487179487,0.9098360655737705
